           2015 American Journal of Political Science Reviewers
Last Name        First Name   Institutional Affiliation
Kriner     Douglas     Boston University
Krishna    Anirudh     Duke University
Kroenig    Matthew     Georgetown University
Kroh       Martin      Humbolt University
Krupnikov  Yanna       Stony Brook University
Kucik      Jeffrey     City College of New York
Kuenzi     Michele     University of Nevada, Las Vegas
Kuhn       Patrick     University of Durham
Kuklinski  James       University of Illinois at Urbana-Champaign
Kung       James       Hong Kong University of Science and Technology
Kurizaki   Shuhei      Waseda University
Kuziemko   Ilyana      Princeton University
Kyu        Nam         University of Nebraska
Lacatus    Corina      London School of Economics and Political Science
Lacina     Bethany     University of Rochester
Lacy       Dean        Dartmouth College
Ladd       Jonathan    Georgetown University
Lago       Ignacio     Universitat Pompeu Fabra
Lambsdorff Johann      University of Passau
Landa      Dimitri     NYU
Larcinese  Valentino   LSE
Larimer    Christopher University of Northern Iowa
LaRowe     Nicholas    University of Southern Indiana
Larreguy   Horacio     Harvard University
Lassen     David       University of Copenhagen
Lauderdale Benjamin    London School of Economics and Political Science
Laver      Michael     New York University
Lawler     Peter       Berry College
Lawless    Jennifer    American University
Lawson     Chappell    Massachusetts Institute of Technology
Lawson     Robert      Southern Methodist University
Lax        Jeffrey     Columbia University
Layman     Geoffrey    University of Notre Dame
Leach      William     University of Southern California
Lebo       Matthew     Stony Brook University
Lee        Alexander   University of Rochester
Lee        Chia-yi     Nanyang Technological University
Lee        Frances     University of Maryland
Leech      Beth        Rutgers University
Leeds      Brett       Rice University
Leeper     Thomas      London School of Economics and Political Science
Lefevere   Jonas       University of Amsterdam
Lefkofridi Zoe         University of Salzburg
                            19

Leighley   Jan         American University
Lelkes     Yphtach     University of Amsterdam
Lemke      Douglas     Pennsylvania State University
Lena       Mona        Rutgers University
Lenz       Gabriel     University of California, Berkeley
Lessing    Benjamin    University of Chicago
Levendusky Matthew     University of Pennsylvania
Leventoglu Bahar       Duke University
Levin      Ines        University of Georgia
Levine     Adam        Cornell University
Lewis      Daniel      Siena College
Lewis      Jacob       University of Maryland at College Park
Lewis-Beck Michael     University of Iowa
Li         Quan        Texas A&M University
Lieberman  Evan        Massachusetts Institute of Technology
Lim        Darren      Australian National University
Lindberg   Staffan     University of Gothenburg
Lipscy     Phillip     Stanford University
Lister     Andrew      Queen's University
Litschig   Stephan     Barcelona Graduate School of Economics
Little     Andrew      Cornell University
Lizotte    Mary-Kate   Birmingham-Southern College
Loepp      Eric        University of Pittsburgh
Loewen     Peter       University of Toronto
Long       James       University of Washington
Lorentzen  Peter       UC Berkeley
Love       Gregory     University of Mississippi
Lowery     David       Pennsylvania State University
Lowry      Robert      University of Texas at Dallas
Loyle      Cyanne      West Virginia University
Lubbers    Marcel      Radboud Universiteit Nijmegen
Lubell     Mark        University of California Davis
Lublin     David       American University
Lucardi    Adrian      Washington University in St. Louis
Lucas      Christopher Harvard University
Lucas      Jennifer    Saint Anselm College
Ludeke     Steven      University of Southern Denmark
Lundqvist  Heléne      Stockholm University
Lupia      Arthur      University of Michigan
Lupton     Robert      Michigan State University
Lupu       Noam        University of Wisconsin, Madison
Lupu       Yonatan     George Washington University
Luttig     Matthew     University of Minnesota
                            20

Lutz           Mark       University of Nevada at Las Vegas
Lyall          Jason      Yale University
Lynch          Marc       George Washington University
Lynch          Michael    University of Georgia
Lyne           Mona       University of Missouri Kansas City
Ma             Xiao       University of Washington
MacDonald      Jason      West Virginia University
MacDonald      Paul       Wellesley College
MacLean        Lauren     Indiana University Bloomington
Mäder          Lars       University of Copenhagen
Madonna        Anthony    University of Georgia
Madrid         Raul       University of Texas at Austin
Makse          Todd       Florida International University
Malesky        Edmund     Duke University
Malhotra       Neil       Stanford University
Mandel         Hadas      Tel-Aviv University
Manger         Mark       University of Toronto
March          Andrew     Yale University
Margalit       Yotam      Columbia University
Margolis       Michele    University of Pennsylvania
Maria          Ana        Lisbon University Institute
Marien         Sofie      University of Amsterdam
Marinov        Nikolay    University of Mannheim
Markaki        Yvonni     The University of Oxford
Marquart-Pyatt Sandra     Michigan State University
Marshall       Bryan      Miami University
Marso          Lori       Union College
Martin         Gregory    Emory University
Martin         Lisa       University of Wisconsin-Madison
Martin         Sheri      University of Iowa
Martinez       Michael    University of Florida
Marty          J.         Arizona State University
Masket         Seth       University of Denver
Mason          Lilliana   University of Maryland at College Park
Mason          T.         University of North Texas
Massari        Ricardo    Sapienza University of Rome
Massey         Douglas    Princeton
Matanock       Aila       University of California, Berkeley
Matovski       Aleksander Cornell University
Mattes         Michaela   University of California Berkeley
Mattes         Robert     University of Cape Town
Mattiacci      Eleonora   Amherst College
Mattozzi       Andrea     European University Institute
                               21

Maves         Jessica   University of Arizona
McCabe        Katherine Princeton University
McCall        Leslie    Northwestern University
McCann        Pamela    University of Southern California
McCarty       Nolan     Princeton University
McCauley      John      University of Maryland
McClendon     Gwyneth   Harvard University
McClerking    Harwood   University of Wisconsin Milwaukee
McClurg       Scott     SIU
McCormack     Daniel    University of Pennsylvania
McDermott     Rose      Brown University
McDonald      Michael   University of Florida
McDonald      Michael   Binghamton University
McGrath       Robert    George Mason University
McGuire       Kevin     University of North Carolina
McKay         Amy       University of Exeter
McKee         Seth      Texas Tech University
McKibben      Heather   University of California, Davis
McNeal        Ramona    University of northern Iowa
McQuillin     Ben       University of East Anglia
Medearis      John      University of California, Riverside
Meguid        Bonnie    University of Rochester
Meier         Kenneth   Texas A&M University
Mele          Christine University of Arkansas
Melzer        Arthur    Michigan State University
Menaldo       Victor    University of Washington
Mendelberg    Tali      Princeton University
Mendham       Matthew   Christian Newport University
Meredith      Marc      University of Pennsylvania
Merrill       Samuel    Wilkes University
Meserve       Stephen   Texas Tech University
Metternich    Nils      University College of London
Meyer         Thomas    University of Vienna
Michael       R.        Bishop's University
Michalopoulos Stelios   Brown University
Michaud       Kristy    California State University, Northridge
Michelitch    Kristin   Vanderbilt University
Michelson     Melissa   Menlo College
Michener      Jamila    Cornell University
Midlarsky     Manus     Rutgers University, New Brunswick
Miles         Matthew   Brigham Young University, Idaho
Miller        Gary      Washington University
Miller        Joanne    University of Minnesota
                             22

Miller       Lisa        Rutgers University
Miller       Luis        University of the Basque Country
Miller       Michael     George Washington University
Miller       Nicholas    Brown University
Milner       Helen       Princeton
Minozzi      William     Ohio State University
Mirkina      Irina       Lund University
Mitchell     David       Bucknell University
Mitchell     Nathan      Prairie View A&M University
Mitchell     Sara        University of Iowa
Mo           Cecilia     Vanderbilt University
Moe          Terry       Stanford University
Moehler      Devra       University of Pennsylvania
Moene        Karl        University of Oslo
Moffett      Kenneth     Southern Illinois University, Edwardsville
Moncrief     Stephen     Yale University
Mondak       Jeffery     University of Illinois at Urbana-Champaign
Monnat       Shannon     Pennsylvania State University
Monogan      James       University of Georgia
Monroe       Nathan      University of California Merced
Montagnes    Brendan     University of Chicago
Monteiro     Nuno        Yale University
Montinola    Gabriella   University of California Davis
Moon         Chungshik   Australian National University
Mooney       Christopher University of Illinois, Springfield
Moore        Will        Arizona State University
Morelli      Massimo     Columbia University
Morgan       Jana        University of Tennessee
Morgan       Jason       Ohio State University
Morgan       T.          Rice University
Morgenbesser Lee         Griffith University
Morgenstern  Scott       University of Pittsburgh
Morin-Chasse Alexandre   Universite de Montreal
Morrell      Michael     University of Connecticut
Morris       Irwin       University of Maryland
Morrison     Kevin       University of Pittsburgh
Morrow       James       University of Michigan
Moseley      Mason       University of Pennsylvania
Mosley       Layna       University of North Carolina
Mozaffar     Shaheen     Bridgewater State College
Mueller      Jan-Werner
Mukherjee    Bumba       Penn State University
Muller       Catherine   University of Sussex
                              23

Mullin     Megan       Duke University
Mullinix   Kevin       Appalachian State University
Mummolo    Jonathan    Stanford University
Munck      Gerardo     University of Southern California
Munger     Michael     Duke University
Mustillo   Thomas      Purdue University
Mutz       Diana       University of Pennsylvania
Nagashima  Daniel      University of Illinois at Urbana-Champaign
Nagler     Jonathan    NYU
Nall       Clayton     Stanford University
Narang     Neil        Stanford University and UCSB
Nawara     Steven      Lewis University
Neblo      Michael     Ohio State University
Neiheisel  Jacob       Suny Buffalo
Nellis     Gareth      Yale University
Nelson     Michael     Pennsylvania State University
Nelson     Stephen     Northwest University
Nemeth     Stephen     Oklahoma State University
Neuhold    Christine   Maastricht University
Newman     Benjamin    University of California Riverside
Nichols    Vanessa     University of Michigan
Nicholson  Stephen     University of California, Merced
Nickerson  David       Temple University
Niebler    Sarah       Dickinson College
Noel       Hans        Georgetown University
Nooruddin  Irfan       Georgetown University
Norrander  Barbara     Univ. of Arizona
Nownes     Anthony     University of Tennessee
Nyhan      Brendan     Dartmouth College
O'Brien    Diana       Indiana University
Oates      Sarah       University of Maryland
Ober       Josiah      Stanford
Ohls       David       American University
Ojeda      Christopher Pennsylvania State University
Oliver     J.          University of Chicago
Olivola    Christopher Carnegie Mellon University
Ondercin   Heather     University of Mississippi
Önnudóttir Eva         University of Iceland
Orr        Susan       The College at Brockport
Oskarsson  Sven        Uppsala University
Osorio     Javier      John Jay College of Criminal Justice
Ostby      Gudrun      Peace Research Institute Oslo (PRIO)
Ostermann  Susan       University of California Berkeley
                            24

Owen         John      University of Virginia
Owsiak       Andrew    University of Georgia
Pacelle      Richard   University of Tennessee
Pacheco      Julie     University of Iowa
Paler        Laura     University of Pittsburgh
Palmer       Maxwell   Boston University
Pamphilis    Niccole   University of Glasgow
Panagopoulos Costas    Fordham University
Pandya       Sonal     University of Virginia
Paolino      Philip    University of North Texas
Pardos-Prado Sergi     University of Oxford
Park         Johann    Mississippi State University
Parkinson    John      Griffith University
Parrott      Michael   University of Maryland
Parry        Janine    University of Arkansas
Pattie       Charles   University of Sheffield
Patty        John      University of Chicago
Pavao        Nara      Vanderbilt University
Peake        Jeffrey   Clemson University
Peffley      Mark      University of Kentucky
Peinhardt    Clint     University of Texas at Dallas
Peksen       Dursun    University of Memphis
Pelc         Krzysztof McGill University
Penn         Elizabeth University of Chicago
Pepinsky     Thomas    Cornell University
Peress       Michael   SUNY-Stony Brook
Perez        Efren     Vanderbilt University
Persson      Anna      University of Gothenburg
Persson      Mikael    University of Gothenburg
Petersen     Michael   Aarhus University
Peterson     Timothy   University of South Carolina
Petrova      Maria     Harvard University
Petrovsky    Nicolai   University of Kentucky
Philips      Andrew    Texas A&M University
Phillips     Brian     CIDE
Phillips     Justin    Columbia
Phoenix      Davin     University of California Irvine
Piazza       James     Penn State University
Pickering    Jeffrey   Kansas State University
Pickup       Mark      Simon Fraser University
Pierskalla   Jan       Ohio State University
Pietryka     Matthew   Florida State University
Piff         Paul      University of California Irvine
                            25

Pinto            Pablo       Columbia University
Piston           Spencer     Syracuse University
Poast            Paul        University of Chicago
Poe              John        University of Kentucky
Polborn          Mattias     Illinois-UC
Pontusson        Jonas       University of Geneva
Pop-Eleches      Grigore     Princeton University
Pope             Jeremy      Brigham Young University
Potter           Philip      University of Virginia
Potter           Rachel      University of Virginia
Poulsen          Lauge       University College London
Powell           Eleanor     University of Wisconsin Madison
Powell           G.          University of Rochester
Powell           Jonathan    University of Central Florida
Prakash          Aseem       University of Washington
Prather          Lauren      University of California San Diego
Prato            Carlo       Georgetown University
Preuhs           Robert      Metropolitan State College of Denver
Prewitt-Freilino Jennifer    Rhode Island School of Design
Prior            Markus      Princeton University
Proksch          Sven-Oliver McGill University
Prorok           Alyssa      University of Iowa
Przeworski       Adam        New York University
Quackenbush      Stephen     University of Missouri
Quek             Kai         University of Hong Kong
Querubin         Pablo       New York University
Quinn            Kevin       UC Berkeley
Quirk            Paul        University of British Columbia
Quiroz           Alejandro   University of Essex
R.               Keith       Vanderbilt University
Radasanu         Andrea      Northern Illinois University
Ragin            Charles     University of California Irvine
Rainey           Carlisle    Texas A&M University
Raleigh          Clionadh    University of Sussex
Ramey            Adam        New York University - Abu Dhabi
Ramirez          Mark        Arizona State University
Ramsay           Kristopher  Princeton University
Raymond          Leigh       Purdue University
Redlawsk         David       Rutgers University
Reenock          Christopher Florida State University
Reeskens         Tim         Tilburg University
Reeves           Andrew      Washington University
Rehm             Philipp     Ohio State University
                                   26

Reifler       Jason     University of Exeter
Reingold      Beth      Emory University
Reiter        Dan       Emory University
Renshon       Jonathan  University of Wisconsin-Madison
Resh          William   University of Southern California
Resnick       Denielle  International Food Policy Research Institute
Rezaee        Janna     University of California, Berkeley
Riambau       Guillem   Yale-NUS College
Rice          Douglas   University of Mississippi
Rice          Roberta   University of Toronto - Mississauga
Richards      David     University of Connecticut
Richey        Sean      Georgia State University
Richman       Jesse     Old Dominion University
Richter       Brian     University of Texas
Rickard       Stephanie London School of Economics
Rico          Guillem   Universitat Autònoma de Barcelona
Rider         Toby      Texas Tech University
Ridout        Travis    Washington State University
Rigby         Elizabeth George Washington University
Riley         Jonathan  Tulane University
Ringe         Nils      University of Wisconsin
Risse         Thomas    Freie Universität Berlin
Robbins       Suzanne   University of Florida
Robert        J.        Wittenberg University
Roberts       Jason     University of North Carolina-Chapel Hill
Roberts       Margaret  University of California San Diego
Robertson     David     University of Missouri - St. Louis
Robertson     Graeme    UNC at Chapel Hill
Robinson      Amanda    The Ohio State University
Robinson      Gregory   Binghamton University (SUNY)
Roessler      Philip    College of William and Mary
Rogowski      Jon       Washington University in St. Louis
Rogowski      Ronald    UCLA
Rohrschneider Robert    University of Kansas
Rolfe         Meredith  University of Massachusetts Amherst
Rooduijn      Matthijs  University of Amsterdam
Rosas         Guillermo Washington University in St. Louis
Rosenberg     Shawn     University of California, Irvine
Rosenbluth    Frances   Yale University
Rosendorff    B.        New York University
Rosenfeld     Jake      Washington University in Saint Louis
Rosenthal     Howard    NYU
Rosenzweig    Steven    Yale University
                             27

Ross        Michael   UCLA
Rost        Nicolas   United Nations
Rothenberg  Lawrence  University of Rochester
Rothstein   Bo        University of Gothenburg
Rottinghaus Brandon   University of Houston
Rovny       Jan       Sciences Po
Rudalevige  Andrew    Bowdoin College
Rudekevich  Gennady   University of Illinois at Urbana-Champaign
Rudolph     Thomas    University of Illinois at Urbana-Champaign
Rueda       David     Oxford University
Ruggeri     Andrea    University of Oxford
Rustad      Siri      Peace Research Institute Oslo
Ryan        John      Stony Brook University
Ryan        Timothy   University of North Carolina at Chapel Hill
Rydgren     Jens      Stockholm University
Ryu         Sooh-Rhee University of Wisconsin River Falls
S.P.        Harish    New York University
Sagar       Paul      King's College
Saideman    Stephen   Carleton University
Salehyan    Idean     University of North Texas
Sambanis    Nicholas  Yale University
Samii       Cyrus     New York University
Sanaei      Ali       University of California Berkeley
Sances      Michael   University of Memphis
Sanchez     Gabriel   University of New Mexico
Sandler     Todd      University of Texas at Dallas, GR31
Sanz        Carlos    Princeton University
Sarkissian  Ani       Michigan State University
Sattler     Thomas    University of Geneva
Satyanath   Shanker   New York University
Saunders    Kyle      Colorado State University
Savage      Jesse     University of Melbourne
Savage      Lee       Kings College London
Savun       Burcu     University of Pittsburgh
Schaffner   Brian     Amherst
Schaub      Max       European University Institute
Schechter   Laura     UW Madison
Scherer     Nancy     Wellesley College
Scheve      Kenneth   Stanford University
Schildkraut Deborah   Tufts University
Schilling   Emily     University of Iowa
Schiumerini Luis      Yale University
Schmitz     Volker    Indiana University
                           28

Schnakenberg     Keith     University of Kentucky
Schneider        Christina University of California, San Diego
Schneider        Gerald    University of Konstanz
Schneider        Saundra   Michigan State University
Schraff          Dominik   University of St. Gallen
Schram           Sanford   CUNY
Schrodt          Phillip   Parus Analytical Systems
Schuck           Andreas   University of Amsterdam
Schuendeln       Matthias  Goethe University Frankfurt
Schuler          Paul      University of Arizona
Schumacher       Gijs      University of Amsterdam
Schur            Lisa      Rutgers University
Schwartzberg     Melissa   New York University
Schwindt-Bayer   Leslie    Rice University
Scotto           Thomas    University of Essex
Scully           Roger     Cardiff University
Sechser          Todd      University of Virginia
Seeberg          Henrik    Aarhus University, Denmark
Seekings         Jeremy    University of Cape Town
Sekeris          Petros    Portsmouth Business School
Selb             Peter     University of Konstanz
Selin            Jennifer  University of Illinois at Urbana-Champaign
Selway           Joel      Brigham Young University
Sen              Maya      Harvard University
Sened            Itai      Washington University in St. Louis
Shadmehr         Mehdi     University of Miami School of Business Administration
Shah             Paru      University of Wisconsin-Milwaukee
Shair-Rosenfield Sarah     Arizona State University
Shapiro          Jacob     Princeton University
Shaver           Andrew    Princeton University
Shaw             Brian     Davidson College
Shaw             Daron     University of Texas at Austin
Shaw             Greg      Illinois Wesleyan University
Shaw             Todd      University of South Carolina
Shayo            Moses     The Hebrew University of Jerusalem
Shea             Patrick   University of Houston
Shepsle          Kenneth   Harvard University
Sherkat          Darren    Southern Illinois University
Shertzer         Allison   University of Pittsburgh
Shin             Adrian    University of Michigan
Shineman         Victoria  University of Pittsburgh
Shipan           Charles   University of Michigan
Shomer           Yael      Tel-Aviv University
                                 29

Shor             Boris       Georgetown University
Shotts           Kenneth     Stanford
Shufeldt         Gregory     University of Arkansas at Little Rock
Sides            John        George Washington University
Sieberg          Katri       University of Tampere
Silbermann       Rachel      Yale University
Simas            Elizabeth   University of Houston
Simmons          Beth        Harvard University
Simonovits       Gabor       Stanford University
Sinclair         Betsy       Washington University at St Louis
Sinclair-Chapman Valeria     Purdue University
Singer           Matthew     University of Connecticut
Singh            Shane       University of Georgia
Sircar           Neelanjan   University of Pennsylvania
Siroky           David       Arizona State University
Skovron          Christopher University of Michigan
Skvoretz         John        University of Phoenix
Slapin           Jonathan    University of Essex
Slothuus         Rune        University of Aarhus
Smangs           Mattias     Fordham University
Smidt            Corwin      Michigan State University
Smidt            Corwin      Calvin College
Smith            Adrienne    University of Tennessee
Smith            Alastair    New York University
Smith            Amy         Iowa State University
Smith            Dale        Florida State University
Smith            Daniel      Harvard
Smith            Daniel      University of Florida
Smith            Jason       Texas A&M
Smith            Nicholas    City College of New York
Smith            Steven      University of California San Diego
Smith            Steven      Washington University
Smoke            Paul        New York University Wagner School of Public Service
Snidal           Duncan      Oxford
Sobek            David       Louisiana State University
Sokhey           Anand       University of Colorado
Solt             Frederick   University of Iowa
Somer-Topcu      Zeynep      University of Texas at Austin
Son              Kyong-Min   University of Delaware
Songer           Donald      University of South Carolina
Sood             Gaurav      Georgetown University
Soroka           Stuart      University of Michigan
Soule            Sarah       Stanford Graduate School of Business
                                  30

Spoon        Jae-Jae     University of North Texas
Sreedhar     Susanne     Boston University
Stanton      Timothy     University of York
Stasavage    David       New York University
Staton       Jeffrey     Emory University
Steenbergen  Marco       University of Bern
Steger       Wayne       DePaul University
Stegmaier    Mary        University of Missouri
Stegmueller  Daniel      University of Mannheim
Steinberg    David       Johns Hopkins University
Steinley     Douglas     University of Missouri
Steinwand    Martin      Stony Brook University
Stephens     LaFleur     Princeton University
Stevenson    Randolph    Rice University
Stewart      Brandon     Harvard University
Stine        Robert      University of Pennsylvania Wharton School
Stockmann    Daniela     Leiden University
Stoetzer     Lukas       Massachusetts Institute of Technology
Stojek       Szymon      University of Georgia
Stone        Peter       Trinity College Dublin
Stone        Walter      UC Davis
Stonecash    Jeffrey     Syracuse University
Stout        Christopher Southern Illinois University, Carbondale
Straus       Scott       University of Wisconsin
Streb        Jorge       Universidad del CEMA
Stroud       Natalie     University of Texas
Stubager     Rune        Aarhus University
Sulkin       Tracy       University of Illinois, Urbana-Champaign
Sullivan     Christopher Louisiana State University
Superti      Chiara      Harvard University
Svolik       Milan       University of Illinois at Urbana-Champaign
Swedlund     Haley       Radboud Universiteit Nijmegen
Swers        Michele     Georgetown University
Swidler      Ann         University of California, Berkeley
Szakonyi     David       Columbia University
Szwarcberg   Mariela     Reed College
Tahk         Alexander   University of Wisconsin–Madison
Tajima       Yuhki       University of California at Riverside
Takeuchi     Hiroki      Southern Methodist University
Talmadge     Caitlin     George Washington University
Tarar        Ahmer       Texas A&M University
Tate         Katherine   Brown University
Tausanovitch Chris       University of California - Los Angeles
                              31

Tavits       Margit      Washington University in St. Louis
Taylor       Andrew      North Carolina State University
Terman       Rochelle    University of California Berkeley
Tesler       Michael     Irvine
Thachil      Tariq       Yale University
Thaler       Daniel      Michigan State University
Theiss-Morse Elizabeth   University of Nebraska-Lincoln
Thelen       Kathleen    MIT
Theodoridis  Alexander   University of California, Merced
Theriault    Sean        The University of Texas at Austin
Thom         Michael     University of Southern California
Thomas       Jakana      Michigan State University
Thompson     William     Indiana University
Thomsen      Danielle    Syracuse University
Thomson      Henry       University of Oxford Nuffield College
Thomson      Robert      University of Strathclyde
Thornton     Judd        Georgia State University
Thrasher     Michael     University of Plymouth
Thrower      Sharece     The University of Pittsburgh
Tilley       James       University of Oxford
Tillmann     Philipp     University of Rochester
Ting         Michael     Columbia University
Tingley      Dustin      Harvard University
Tirone       Daniel      Louisiana State University
Titiunik     Rocio       University of Michigan
Todorov      Alex        Princeton University
Torcal       Mariano     Universitat Pompeu Fabra
Toshkov      Dimiter     Leiden University
Tranchant    Jean-Pierre University of Sussex
Traven       David       Williams College
Treier       Shawn       Australian National University
Treisman     Daniel      University of California, Los Angeles
Tripp        Aili        University of Wisconsin
Trounstine   Jessica     University of California, Merced
Truex        Rory        Princeton University
Turcotte     Jason       California State Polytechnic University Pomona
Tyler        Tom         Yale University
Ura          Joseph      Texas A&M University
Urlacher     Brian       University of North Dakota
Urpelainen   Johannes    Columbia University
Uscinski     Joseph      University of Miami
Utych        Stephen     Boise State University
Valdini      Melody      Portland State University
                              32

Valentino    Benjamin    Dartmouth College
Valentino    Nicholas    University of Michigan
Valeriano    Brandon     University of Glasgow
Vander       Ryan        Temple University
Vasilopoulou Sofia       University of York
Vaughn       Justin      Boise State University
Vavreck      Lynn        UCLA
Vercellotti  Timothy     Western New England University
Vernon       Richard     Western University
Versteeg     Mila        University of Virginia
Victor       David       University of California, San Diego
Victor       Kristina    University of California Davis
Villalobos   José        University of Texas at El Paso
Vining       Richard     University of Georgia
Vis          Barbara     VU University Amsterdam
Vivyan       Nick        Durham University
Vliegenthart Rens        Universiteit van Amsterdam
Voeten       Erik        Georgetown University
Voigt        Stefan      University Hamburg
Volden       Craig       University of Virginia
Volscho      Thomas      College of Staten Island
Vonnahme     Elizabeth   University of Missouri Kansas City
Vraga        Emily       George Mason University
Wagner       Markus      University of Vienna
Wald         Kenneth     University of Florida
Walgrave     Stefaan     University of Antwerp
Wallace      Geoffrey    Rutgers University
Wallace      Jeremy      Cornell University
Wallace      Sophia      Rutgers, The State University of New Jersey
Walsh        James       University of North Carolina Charlotte
Wang         Yuhua       Harvard University
Warber       Adam        Clemson University
Ward         Hugh        University of Essex
Ward         Michael     Duke University
Warren       Patrick     Clemson University
Warren       Timothy     Naval Postgraduate School
Warshaw      Christopher MIT
Warwick      Paul        Simon Fraser University
Wasow        Omar        Princeton University
Waterman     Richard     University of Kentucky
Weaver       Vesla       Yale University
Webb         Clayton     University of Kansas
Weber        Christopher University of Arizona
                              33

Weber         Till      Baruch College, CUNY
Wedeking      Justin    University of Kentucky
Wedeman       Andrew    Georgia State University
Weeden        Jason     University of Pennsylvania
Weeks         Ana       Harvard University
Weeks         Jessica   University of Wisconsin
Weidmann      Nils      Universitat Konstanz
Weinstein     David     Wake Forest University
Weintraub     Michael   Binghamton University
Weiss         Jessica   Cornell University
Weitz-Shapiro Rebecca   Brown University
Welch         Ryan      Arizona State University
Weldon        Sirje     Purdue University
Weller        Nicholas  University of Southern California
Wellhausen    Rachel    University of Texas at Austin
Wells         Chris     University of Wisconsin Madison
Werker        Eric      Harvard University
Werner        Annika    Griffith University, Australia
Weschle       Simon     Carlos III-Juan March Institute
West          Karleen   SUNY Geneseo
Westerland    Chad      University of Arizona
Westwood      Sean      Dartmouth College
Whalley       Alexander University of California-Merced
Whitby        Kenny     University of South Carolina
White         Ariel     Harvard University
White         Ismail    George Washington University
White         Stephen   University of Virginia
Whiteley      Paul      University of Essex
Whitten       Guy       Texas A&M University
Whittington   Keith     Princeton University
Wichowsky     Amber     Marquette University
Wiens         David     University of California San Diego
Wig           Tore      University of Oslo
Wilkerson     John      U of Washington
Williams      Kenneth   Michigan State University
Williams      Laron     University of Missouri
Williams      Margaret  Federal Judicial Center
Williams      Robert    University of Houston
Williamson    Claudia   Mississippi State University
Williamson    Ryan      University of Georgia
Wilson        David     University of Delaware
Wilson        James     University of Chicago
Wilson        Matthew   West Virginia University
                             34

Windett       Jason       Saint Louis University
Winecoff      William     Indiana University
Winter        Nicholas    University of Virginia
Winters       Matthew     University of Illinois at Urbana-Champaign
Wiseman       Alan        Vanderbilt University
Witko         Christopher University of South Carolina
Wlezien       Christopher University of Texas--Austin
Wohlfarth     Patrick     University of Maryland, College Park
Wolak         Jennifer    University of Colorado
Wolbrecht     Christina   University of Notre Dame
Wolford       Scott       University of Texas at Austin
Woo           Byungwon    Oakland University
Wood          B.          Texas A&M University
Wood          Reed        Arizona State University
Wood          Thomas      Ohio State University
Woods         Neal        University of South Carolina
Woodson       Benjamin    University of Missouri Kansas City
Woodwell      Douglas     University of Indianapolis
Woon          Jonathan    University of Pittsburgh
Worden        Robert      University at Albany, SUNY
Workman       Samuel      University of Oklahoma
Wright        Breanna     Stony Brook University
Wright        Matthew     American University
Wright        Thorin      Arizona State University
Wucherpfennig Julian      University College London
X             Michael     University of Pennsylvania
Xezonakis     Georgios    University of Gothenburg
Xi            Tianyang    Peking University
Xydias        Christina   Clarkson University
Yack          Bernard     Brandeis
Yackee        Susan       University of Wisconsin
Yadav         Vineeta     Penn State University
Yamamoto      Teppei      Massachusetts Institute of Technology
Yao           Yang        Peking University
Yasuda        John        University of Pennsylvania
Yates         Jeff        Binghamton University
Yaver         Miranda     Columbia University
Yeon          Ju          New York University
Yi            Kim         Smith College
Young         Daniel      Georgia State University
Young         Joseph      American University, School of Public Affairs
Yuen          Yuen        University of Michigan Ann Arbor
Zakharova     Maria       Simon Fraser University
                               35

Zalewski    Matthew   Michigan State University
Zarate      Barbara   Centro de Investigacion y Docencia Economicas
Zarazaga    Rodrigo   CIAS Centro de Investigación y Acción Social
Zechmeister Elizabeth Vanderbilt University
Zeitzoff    Thomas    American University
Zetterberg  Pär       Uppsala University
Zhang       Nan       European University Institute
Zhu         Boliang   Pennsylvania State University
Zhukov      Yuri      University of Michigan
Zilis       Michael   University of Kentucky
Zimmerman   Brigitte  University of North Carolina at Chapel Hill
Zimmermann  Laura     University of Georgia
Zink        James     North Carolina State University
Zivi        Karen     Grand Valley State University
Zucco       Cesar     Brazilian School of Business and Public Administration
                           36

